player_id,player_name,bowling_style,innings_bowled,total_overs,total_balls,total_runs,economy,wickets
2035.0,Ian Salisbury,legbreak googly,2,31.0,186.0,177.0,5.709677419354839,1.0
4673.0,Ian Stanger,right-arm medium,1,9.0,54.0,56.0,6.222222222222222,5.0
63619.0,Iftikhar Ahmed,right-arm offbreak,2,132.4,796.0,742.0,5.604229607250755,16.0
19396.0,Iftikhar Anjum,right-arm medium,2,492.0,2960.0,2430.0,4.939024390243903,15.0
110482.0,Ihsanullah,right-arm fast,1,8.0,48.0,60.0,7.5,14.0
1860.0,Ijaz Ahmed,left-arm medium,2,104.9,637.0,476.0,4.537654909437559,203.0
2220.0,Ijaz Ahmed,right-arm offbreak,2,5.0,30.0,25.0,5.0,203.0
1635.0,Ijaz Faqih,right-arm offbreak,2,186.0,1116.0,819.0,4.403225806451613,16.0
47980.0,Ilyas Gull,right-arm offbreak,1,19.0,114.0,113.0,5.947368421052632,2.0
48982.0,Imad Wasim,slow left-arm orthodox,2,399.9,2403.0,1957.0,4.893723430857714,23.0
10392.0,Imran Farhat,legbreak,1,18.8,116.0,110.0,5.8510638297872335,56.0
87643.0,Imran Haider,legbreak googly,2,157.1,943.0,841.0,5.353278166772756,7.0
1383.0,Imran Khan,right-arm fast,2,1238.7,7461.0,4844.0,3.9105513845160247,111.0
8177.0,Imran Nazir,legbreak,1,7.7,49.0,48.0,6.233766233766234,77.0
19422.0,Imran Tahir,legbreak googly,2,910.9,5481.0,4255.0,4.671204303436162,19.0
7269.0,Indika Gallage,right-arm fast-medium,2,24.0,144.0,115.0,4.791666666666667,1.0
62733.0,Innocent Kaia,legbreak,2,4.4,28.0,22.0,5.0,18.0
1117.0,Intikhab Alam,legbreak googly,1,23.0,158.0,118.0,5.130434782608695,2.0
2034.0,Inzamam-ul-Haq,slow left-arm orthodox,2,9.4,58.0,64.0,6.808510638297872,297.0
1514.0,Iqbal Qasim,slow left-arm orthodox,2,106.0,664.0,500.0,4.716981132075472,6.0
2027.0,Iqbal Sikander,legbreak googly,2,35.0,210.0,147.0,4.2,0.0
48482.0,Irfan Ahmed,right-arm fast-medium,2,48.2,290.0,299.0,6.203319502074688,6.0
2132.0,Irfan Bhatti,right-arm fast-medium,1,8.0,48.0,22.0,2.75,0.0
