matches_bat,innings_batted,runs,balls,fours,sixes,bat_avg,strike_rate,matches_bowl,innings_bowled,wickets,runs_conceded,overs,player_name
3,3,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,Charl Willoughby
49,49,1128.0,1674.0,94.0,12.0,23.020408163265305,67.38351254480287,,,,,,Charles Amini
1,1,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,Charles Baksh
39,39,831.0,937.0,62.0,29.0,21.307692307692307,88.68729989327642,,,,,,Charles Coventry
5,5,32.0,38.0,1.0,2.0,6.4,84.21052631578947,,,,,,Charles Perchard
8,8,8.0,20.0,1.0,0.0,1.0,40.0,,,,,,Charlie Lock
2,2,72.0,104.0,3.0,2.0,36.0,69.23076923076923,,,,,,Charlie Tear
2,2,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Charlton Tshuma
7,7,94.0,112.0,10.0,0.0,13.428571428571429,83.92857142857143,,,,,,Chaturanga de Silva
1,1,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,Chemar Holder
7,7,153.0,301.0,6.0,0.0,21.857142857142858,50.83056478405316,,,,,,Chetan Chauhan
1,1,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chetan Sakariya
65,65,456.0,504.0,31.0,4.0,7.015384615384615,90.47619047619048,,,,,,Chetan Sharma
5,5,51.0,130.0,4.0,0.0,10.2,39.23076923076923,,,,,,Cheteshwar Pujara
37,37,946.0,1506.0,96.0,13.0,25.56756756756757,62.81540504648074,,,,,,Chirag Suri
5,5,71.0,144.0,3.0,0.0,14.2,49.30555555555556,,,,,,Chris Adams
2,2,3.0,3.0,0.0,0.0,1.5,100.0,,,,,,Chris Amini
34,34,1361.0,2447.0,81.0,3.0,40.029411764705884,55.619125459746634,,,,,,Chris Broad
212,212,4950.0,5874.0,345.0,153.0,23.349056603773583,84.26966292134831,,,,,,Chris Cairns
3,3,51.0,46.0,5.0,1.0,17.0,110.86956521739131,,,,,,Chris Cowdrey
2,2,122.0,218.0,14.0,1.0,61.0,55.96330275229357,,,,,,Chris Douglas
5,5,9.0,22.0,1.0,0.0,1.8,40.909090909090914,,,,,,Chris Drum
