Match ID,Match Date,Series Name,team1 name,team1 runs_scored,team1 wickets_lost,Match Winner,Match Venue (Stadium),Match Venue (City),Match Venue (Country),team2 name, Team2 runs_scored,Team2 wickets_lost
64755,2002-03-13,Zimbabwe tour of India  - 2002 (2001/02),India,191.0,10.0,Zimbabwe,Nehru Stadium,Kochi,India,,,
64756,2002-03-16,Zimbabwe tour of India  - 2002 (2001/02),Zimbabwe,240.0,8.0,India,Lal Bahadur Shastri Stadium,Hyderabad,India,,,
64757,2002-03-19,Zimbabwe tour of India  - 2002 (2001/02),India,333.0,6.0,India,Nehru Stadium,Guwahati,India,,,
64758,2002-03-22,Australia tour of South Africa  - 2002 (2001/02),Australia,223.0,8.0,Australia,New Wanderers Stadium,Johannesburg,South Africa,,,
64759,2002-03-24,Australia tour of South Africa  - 2002 (2001/02),Australia,226.0,8.0,Australia,SuperSport Park,Centurion,South Africa,,,
64760,2002-03-27,Australia tour of South Africa  - 2002 (2001/02),South Africa,259.0,7.0,,North West Cricket Stadium,Potchefstroom,South Africa,,,
64761,2002-03-30,Australia tour of South Africa  - 2002 (2001/02),Australia,290.0,6.0,Australia,Goodyear Park,Bloemfontein,South Africa,,,
64762,2002-04-03,Australia tour of South Africa  - 2002 (2001/02),South Africa,267.0,6.0,Australia,Kingsmead,Durban,South Africa,,,
64763,2002-04-06,Australia tour of South Africa  - 2002 (2001/02),South Africa,326.0,3.0,Australia,St George's Park,Gqeberha,South Africa,,,
65796,2002-04-08,"Sharjah Cup New Zealand, Pakistan, Sri Lanka in United Arab Emirates - 2002 (2001/02)",Sri Lanka,242.0,9.0,Sri Lanka,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
64771,2002-06-05,New Zealand tour of West Indies  - 2002 (2002),New Zealand,176.0,10.0,,Sabina Park,Kingston,West Indies,,,
65797,2002-04-09,"Sharjah Cup New Zealand, Pakistan, Sri Lanka in United Arab Emirates - 2002 (2001/02)",New Zealand,218.0,8.0,New Zealand,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
64764,2002-04-09,Australia tour of South Africa  - 2002 (2001/02),South Africa,249.0,7.0,South Africa,Newlands,Cape Town,South Africa,,,
65798,2002-04-11,"Sharjah Cup New Zealand, Pakistan, Sri Lanka in United Arab Emirates - 2002 (2001/02)",Pakistan,288.0,6.0,Pakistan,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
65799,2002-04-12,"Sharjah Cup New Zealand, Pakistan, Sri Lanka in United Arab Emirates - 2002 (2001/02)",Sri Lanka,239.0,6.0,Sri Lanka,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
65800,2002-04-14,"Sharjah Cup New Zealand, Pakistan, Sri Lanka in United Arab Emirates - 2002 (2001/02)",Sri Lanka,243.0,9.0,Sri Lanka,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
65801,2002-04-15,"Sharjah Cup New Zealand, Pakistan, Sri Lanka in United Arab Emirates - 2002 (2001/02)",New Zealand,213.0,9.0,Pakistan,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
65802,2002-04-17,"Sharjah Cup New Zealand, Pakistan, Sri Lanka in United Arab Emirates - 2002 (2001/02)",Pakistan,295.0,6.0,Pakistan,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
64765,2002-04-21,New Zealand tour of Pakistan  - 2002 (2002),Pakistan,275.0,6.0,Pakistan,National Stadium,Karachi,Pakistan,,,
64766,2002-04-24,New Zealand tour of Pakistan  - 2002 (2002),New Zealand,277.0,5.0,Pakistan,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,,,
64767,2002-04-27,New Zealand tour of Pakistan  - 2002 (2002),Pakistan,278.0,5.0,Pakistan,Gaddafi Stadium,Lahore,Pakistan,,,
64768,2002-05-29,India tour of West Indies  - 2002 (2002),West Indies,186.0,10.0,India,Kensington Oval,Bridgetown,West Indies,,,
64769,2002-06-01,India tour of West Indies  - 2002 (2002),India,123.0,10.0,West Indies,Queen's Park Oval,Port of Spain,West Indies,,,
64770,2002-06-02,India tour of West Indies  - 2002 (2002),India,260.0,10.0,India,Queen's Park Oval,Port of Spain,West Indies,,,
64772,2002-06-08,New Zealand tour of West Indies  - 2002 (2002),New Zealand,248.0,7.0,West Indies,Beausejour Stadium,Gros Islet,West Indies,,,
64773,2002-06-09,New Zealand tour of West Indies  - 2002 (2002),New Zealand,210.0,7.0,West Indies,Beausejour Stadium,Gros Islet,West Indies,,,
64774,2002-06-12,Pakistan tour of Australia  - 2002 (2002),Pakistan,176.0,8.0,Australia,Docklands Stadium,Melbourne,Australia,,,
64775,2002-06-12,New Zealand tour of West Indies  - 2002 (2002),New Zealand,212.0,5.0,New Zealand,Queen's Park Oval,Port of Spain,West Indies,,,
64776,2002-06-15,Pakistan tour of Australia  - 2002 (2002),Australia,167.0,10.0,Pakistan,Docklands Stadium,Melbourne,Australia,,,
64777,2002-06-16,New Zealand tour of West Indies  - 2002 (2002),New Zealand,291.0,8.0,West Indies,Arnos Vale Ground,Kingstown,West Indies,,,
64778,2002-06-19,Pakistan tour of Australia  - 2002 (2002),Pakistan,256.0,7.0,Pakistan,Brisbane Cricket Ground,Brisbane,Australia,,,
66283,2002-06-27,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",England,293.0,6.0,England,Trent Bridge,Nottingham,England,,,
66284,2002-06-29,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",England,271.0,7.0,India,Lord's,London,England,,,
66285,2002-06-30,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",Sri Lanka,202.0,8.0,India,Kennington Oval,London,England,,,
66286,2002-07-02,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",Sri Lanka,240.0,7.0,England,Headingley,Leeds,England,,,
66287,2002-07-04,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",India,285.0,4.0,,Riverside Ground,Chester-le-Street,England,,,
66288,2002-07-06,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",Sri Lanka,187.0,10.0,India,Edgbaston,Birmingham,England,,,
66289,2002-07-07,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",Sri Lanka,229.0,10.0,Sri Lanka,Old Trafford,Manchester,England,,,
66290,2002-07-09,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",England,229.0,8.0,England,Kennington Oval,London,England,,,
66291,2002-07-11,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",India,304.0,10.0,India,The Royal & Sun Alliance County Ground,Bristol,England,,,
66292,2002-07-13,"NatWest Series England, India, Sri Lanka in England - 2002 (2002)",England,325.0,5.0,India,Lord's,London,England,,,
64779,2002-08-04,Bangladesh tour of Sri Lanka  - 2002 (2002),Bangladesh,226.0,8.0,Sri Lanka,Sinhalese Sports Club Ground,Colombo,Sri Lanka,,,
64780,2002-08-05,Bangladesh tour of Sri Lanka  - 2002 (2002),Bangladesh,76.0,10.0,Sri Lanka,Sinhalese Sports Club Ground,Colombo,Sri Lanka,,,
64781,2002-08-07,Bangladesh tour of Sri Lanka  - 2002 (2002),Sri Lanka,258.0,6.0,Sri Lanka,R Premadasa Stadium,Colombo,Sri Lanka,,,
66336,2002-08-12,"Morocco Cup Pakistan, South Africa, Sri Lanka - 2002 (2002)",South Africa,283.0,9.0,South Africa,National Cricket Stadium,Tangier,Morocco,,,
66337,2002-08-14,"Morocco Cup Pakistan, South Africa, Sri Lanka - 2002 (2002)",Pakistan,279.0,5.0,Pakistan,National Cricket Stadium,Tangier,Morocco,,,
66338,2002-08-15,"Morocco Cup Pakistan, South Africa, Sri Lanka - 2002 (2002)",Sri Lanka,267.0,7.0,Sri Lanka,National Cricket Stadium,Tangier,Morocco,,,
66339,2002-08-17,"Morocco Cup Pakistan, South Africa, Sri Lanka - 2002 (2002)",Sri Lanka,242.0,10.0,Sri Lanka,National Cricket Stadium,Tangier,Morocco,,,
66340,2002-08-18,"Morocco Cup Pakistan, South Africa, Sri Lanka - 2002 (2002)",South Africa,196.0,8.0,South Africa,National Cricket Stadium,Tangier,Morocco,,,
66341,2002-08-19,"Morocco Cup Pakistan, South Africa, Sri Lanka - 2002 (2002)",South Africa,220.0,6.0,Sri Lanka,National Cricket Stadium,Tangier,Morocco,,,
